room.name;room.longName;date;startTime;endTime;bookingId;bookingType;bookingFlag;user.name;replacedRoom.name;replacedRoom.longName;startDate;endDate;occurence;klassen;activityType.name;teachers
G202;202 [Ilg Markus];23.10.17;07:15;08:00;0;L;;;;;;;;LOGEBA17C;;cesi
G154;154 [HSA];23.10.17;07:15;08:00;0;L;;;;;;;;GEREEBA17A;;scan
G304;G304 BBZ im Bifang;23.10.17;07:15;08:00;0;L;;;;;;;;ALF15B;;scjo
G409;409 [Reto Cantamessi];23.10.17;07:15;08:00;0;L;;;;;;;;ZFI17A;;care
G310;G310;23.10.17;07:15;08:00;0;L;;;;;;;;BM2_GK17A;;mehe
G155;155 [SMG];23.10.17;07:15;08:00;0;L;;;;;;;;BEGE17A;;homa
G211;211 [Daniel Zenger];23.10.17;07:15;08:00;0;L;;;;;;;;LOG15A, LOG15B, LOG15C, LOG15D;;huer
G111;111 [Markus Zimmerli];23.10.17;07:15;08:00;0;L;;;;;;;;AUMA14A;;stma
G102;G102 BBZ im Bifang;23.10.17;07:15;08:00;0;L;;;;;;;;AO17C;;schjo
TH1;Turnhalle 1;23.10.17;07:15;08:00;0;L;;;;;;;;AGS16A;;gulu
GU79;Turnhalle 5;23.10.17;07:15;08:00;0;L;;;;;;;;KVE16B;;blfa
TH4;Turnhalle 4;23.10.17;07:15;08:00;0;L;;;;;;;;KVE17B;;bupa
K315;K315 (kbs);23.10.17;07:15;08:00;0;L;;;;;;;;KVE17A;;liba
G154;154 [HSA];23.10.17;07:15;08:00;0;L;;;;;;;;GEREEBA17A;;fest
G202;202 [Ilg Markus];23.10.17;07:15;08:00;0;L;;;;;;;;LOGEBA17C;;scbe
GE30/32;E30/32 [Theo/Küche];23.10.17;07:15;08:00;0;L;;;;;;;;HWP17C;;mumo
GE30/32;E30/32 [Theo/Küche];23.10.17;07:15;08:00;0;L;;;;;;;;HWP17C;;dili
B117;B117;23.10.17;07:20;08:20;0;L;;;;;;;;FABEK17B;;macl
G209;G209;23.10.17;08:00;08:50;10640;A;B;scbe;;;23.10.17;29.10.17;w;LOGEBA17C;Unterricht;scbe
BU133LTT;BU133LTT kleines Schulzimmer;23.10.17;08:00;08:50;0;L;;;;;;;;LTTP;;gaka
GE11;GE11 EBZ im Bifang;23.10.17;08:05;08:50;0;L;;;;;;;;BM2_GS17A;;tsga
G412;412 [IJ-BV];23.10.17;08:05;08:50;0;L;;;;;;;;IJBV17A;;zare
G111;111 [Markus Zimmerli];23.10.17;08:05;08:50;0;L;;;;;;;;AO17B;;stma
G501;501 [IJ-JF];23.10.17;08:05;08:50;0;L;;;;;;;;IJJF17A;;toer
GE24;E24 [BVJ];23.10.17;08:05;08:50;0;L;;;;;;;;IJJF17B;;hado
GE29;E29 [BM];23.10.17;08:05;08:50;0;L;;;;;;;;BM2_GS17B;;ruel
TH2;Turnhalle 2;23.10.17;08:05;08:50;0;L;;;;;;;;LOG17D;;habe
TH1;Turnhalle 1;23.10.17;08:05;08:50;0;L;;;;;;;;LOGEBA17B;;stfe
G157;157 [Thomas Kuhn];23.10.17;08:05;08:50;0;L;;;;;;;;GERE17A;;kuth
G154;154 [HSA];23.10.17;08:05;08:50;0;L;;;;;;;;GEREEBA17A;;fest
G212;212 [Marcel Egger];23.10.17;08:05;08:50;0;L;;;;;;;;GERE16B;;egma
G404;G404;23.10.17;08:05;08:50;0;L;;;;;;;;ALF15A;;buch
G106;106 [Alfred Meuter];23.10.17;08:05;08:50;0;L;;;;;;;;ALF17A;;giad
G311;G311 BBZ im Bifang;23.10.17;08:05;08:50;0;L;;;;;;;;MA16A;;mumo
G305;G305;23.10.17;08:05;08:50;0;L;;;;;;;;FOEV15A;;scpe
G304;G304 BBZ im Bifang;23.10.17;08:05;08:50;0;L;;;;;;;;ALF15B;;scjo
G302;302 [Lukas Schreiber];23.10.17;08:05;08:50;0;L;;;;;;;;AUMA14A;;sclu
G151;151 [Brändli Andreas];23.10.17;08:05;08:50;0;L;;;;;;;;BEGE15A;;faar
G409;409 [Reto Cantamessi];23.10.17;08:05;08:50;0;L;;;;;;;;ZFI17A;;care
G310;G310;23.10.17;08:05;08:50;0;L;;;;;;;;BM2_GK17A;;mehe
G503;503 [Zeichnen];23.10.17;08:05;08:50;0;L;;;;;;;;ZFA17A;;muhj
G202;202 [Ilg Markus];23.10.17;08:05;08:50;0;L;;;;;;;;LOGEBA17C;;scbe
GE21;E21 [Bellabarba Claudio];23.10.17;08:05;08:50;0;L;;;;;;;;BVJ17A;;becl
GE25;E25 [BVJ];23.10.17;08:05;08:50;0;L;;;;;;;;BVJ17B;;kuhr
GE23;E23 [BVJ];23.10.17;08:05;08:50;0;L;;;;;;;;BVJ17C;;mopr
GE27;E27 [Sylvia Sollberger];23.10.17;08:05;08:50;0;L;;;;;;;;BVJ17D;;sosy
G407;407 [Roland Nebel];23.10.17;08:05;08:50;0;L;;;;;;;;HUF16A, GLAS16A;;laech
G155;155 [SMG];23.10.17;08:05;08:50;0;L;;;;;;;;BEGE17A;;homa
G159;G159;23.10.17;08:05;08:50;0;L;;;;;;;;HUF17A;;hari
G211;211 [Daniel Zenger];23.10.17;08:05;08:50;0;L;;;;;;;;LOG15A, LOG15B, LOG15C, LOG15D;;huer
K313;K313 (kbs);23.10.17;08:05;08:50;0;L;;;;;;;;BM1_WI16B;;hian
K208;K 208 KBS;23.10.17;08:05;08:50;0;L;;;;;;;;BM1_WI16A;;puco
K210;K210 KBS;23.10.17;08:05;08:50;0;L;;;;;;;;KVE15A;;fama
K112;KBS Informatik;23.10.17;08:05;08:50;0;L;;;;;;;;KVB16A;;wita
